timestamp,country,cases,deaths
2020-02-07,Others Cruise Ship,61.0,0.0
2020-02-08,Others Cruise Ship,61.0,0.0
2020-02-09,Others Diamond Princess cruise ship,64.0,0.0
2020-02-10,Others Diamond Princess cruise ship,135.0,0.0
2020-02-11,Others Diamond Princess cruise ship,135.0,0.0
2020-02-12,Others Diamond Princess cruise ship,175.0,0.0
2020-02-13,Others Diamond Princess cruise ship,175.0,0.0
2020-02-14,Others Diamond Princess cruise ship,218.0,0.0
2020-02-15,Others Diamond Princess cruise ship,285.0,0.0
2020-02-16,Others Diamond Princess cruise ship,355.0,0.0
2020-02-17,Others Diamond Princess cruise ship,454.0,0.0
2020-02-18,Others Diamond Princess cruise ship,542.0,0.0
2020-02-19,Others Diamond Princess cruise ship,621.0,0.0
2020-02-20,Others Diamond Princess cruise ship,634.0,2.0
2020-02-21,Others Diamond Princess cruise ship,634.0,2.0
2020-02-22,Others Diamond Princess cruise ship,634.0,2.0
2020-02-23,Others Diamond Princess cruise ship,691.0,3.0
2020-02-24,Others Diamond Princess cruise ship,691.0,3.0
2020-02-25,Others Diamond Princess cruise ship,691.0,3.0
2020-02-26,Others Diamond Princess cruise ship,705.0,4.0
2020-02-27,Others Diamond Princess cruise ship,705.0,4.0
2020-02-28,North Ireland nan,1.0,0.0
2020-02-28,Others Diamond Princess cruise ship,705.0,6.0
2020-02-29,Others Diamond Princess cruise ship,705.0,6.0
2020-03-01,Others Diamond Princess cruise ship,705.0,6.0
2020-03-02,Others Diamond Princess cruise ship,705.0,6.0
2020-03-03,Others Diamond Princess cruise ship,706.0,6.0
2020-03-04,Others Diamond Princess cruise ship,706.0,6.0
2020-03-05,Others Diamond Princess cruise ship,706.0,6.0
2020-03-06,Others Diamond Princess cruise ship,696.0,6.0
2020-03-07,Others Diamond Princess cruise ship,696.0,6.0
2020-03-08,Others Diamond Princess cruise ship,696.0,6.0
2020-03-09,Others Diamond Princess cruise ship,696.0,6.0
2020-03-10,Channel Islands nan,1.0,0.0
2020-03-10,Others Diamond Princess cruise ship,696.0,6.0
2020-03-11,Cruise Ship Diamond Princess,696.0,7.0
2020-03-12,Cruise Ship Diamond Princess,696.0,7.0
2020-03-13,Cruise Ship Diamond Princess,696.0,7.0
2020-03-14,Cruise Ship Diamond Princess,696.0,7.0
2020-03-15,Cruise Ship Diamond Princess,696.0,7.0
2020-03-16,Cruise Ship Diamond Princess,696.0,7.0
2020-03-17,Cruise Ship Diamond Princess,696.0,7.0
2020-03-18,Cruise Ship Diamond Princess,712.0,7.0
2020-03-19,Cruise Ship Diamond Princess,712.0,7.0
2020-03-20,Cruise Ship Diamond Princess,712.0,7.0
2020-03-21,Cruise Ship Diamond Princess,712.0,8.0
2020-03-22,Cruise Ship Diamond Princess,712.0,8.0
2020-03-23,Cruise Ship Diamond Princess,712.0,8.0
2020-03-25,Diamond Princess nan,712.0,10.0
2020-03-26,Diamond Princess nan,712.0,10.0
2020-03-27,Diamond Princess nan,712.0,10.0
2020-03-28,Diamond Princess nan,712.0,10.0
2020-03-28,MS Zaandam nan,2.0,0.0
2020-03-29,Diamond Princess nan,712.0,10.0
2020-03-29,MS Zaandam nan,2.0,0.0
2020-03-30,Diamond Princess nan,712.0,10.0
2020-03-30,MS Zaandam nan,2.0,0.0
2020-03-31,Diamond Princess nan,712.0,10.0
