timestamp,cases,deaths,country
2020-02-24,221,7,ITA
2020-02-25,93,10,ITA
2020-02-26,78,12,ITA
2020-02-27,250,17,ITA
2020-02-28,238,21,ITA
2020-02-29,240,29,ITA
2020-03-01,566,34,ITA
2020-03-02,342,52,ITA
2020-03-03,466,79,ITA
2020-03-04,587,107,ITA
2020-03-05,769,148,ITA
2020-03-06,778,197,ITA
2020-03-07,1247,233,ITA
2020-03-08,1492,366,ITA
2020-03-09,1797,463,ITA
2020-03-10,977,631,ITA
2020-03-11,2313,827,ITA
2020-03-12,2651,1016,ITA
2020-03-13,2547,1266,ITA
2020-03-14,3497,1441,ITA
2020-03-15,3590,1809,ITA
2020-03-16,3233,2158,ITA
2020-03-17,3526,2503,ITA
2020-03-18,4207,2978,ITA
2020-03-19,5322,3405,ITA
2020-03-20,5986,4032,ITA
2020-03-21,6557,4825,ITA
2020-03-22,5560,5476,ITA
2020-03-23,4789,6077,ITA
2020-03-24,5249,6820,ITA
2020-03-25,5210,7503,ITA
2020-03-26,6153,8165,ITA
2020-03-27,5959,9134,ITA
2020-03-28,5974,10023,ITA
2020-03-29,5217,10779,ITA
2020-03-30,4050,11591,ITA
2020-03-31,4053,12428,ITA
2020-04-01,4782,13155,ITA
2020-04-02,4668,13915,ITA
2020-04-03,4585,14681,ITA
2020-04-04,4805,15362,ITA
2020-04-05,4316,15887,ITA
2020-04-06,3599,16523,ITA
2020-04-07,3039,17127,ITA
2020-04-08,3836,17669,ITA
2020-04-09,4204,18279,ITA
2020-04-10,3951,18849,ITA
2020-04-11,4694,19468,ITA
2020-04-12,4092,19899,ITA
2020-04-13,3153,20465,ITA
2020-04-14,2972,21067,ITA
2020-04-15,2667,21645,ITA
2020-04-16,3786,22170,ITA
2020-04-17,3493,22745,ITA
2020-04-18,3491,23227,ITA
2020-04-19,3047,23660,ITA
2020-04-20,2256,24114,ITA
2020-04-21,2729,24648,ITA
2020-04-22,3370,25085,ITA
2020-04-23,2646,25549,ITA
2020-04-24,3021,25969,ITA
2020-04-25,2357,26384,ITA
2020-04-26,2324,26644,ITA
2020-04-27,1739,26977,ITA
2020-04-28,2091,27359,ITA
2020-04-29,2086,27682,ITA
2020-04-30,1872,27967,ITA
2020-05-01,1965,28236,ITA
2020-05-02,1900,28710,ITA
2020-05-03,1389,28884,ITA
2020-05-04,1221,29079,ITA
2020-05-05,1075,29315,ITA
2020-05-06,1444,29684,ITA
2020-05-07,1401,29958,ITA
2020-05-08,1327,30201,ITA
2020-05-09,1083,30395,ITA
2020-05-10,802,30560,ITA
2020-05-11,744,30739,ITA
2020-05-12,1402,30911,ITA
2020-05-13,888,31106,ITA
2020-05-14,992,31368,ITA
2020-05-15,789,31610,ITA
2020-05-16,875,31763,ITA
2020-05-17,675,31908,ITA
2020-05-18,451,32007,ITA
2020-05-19,813,32169,ITA
2020-05-20,665,32330,ITA
2020-05-21,642,32486,ITA
2020-05-22,652,32616,ITA
2020-05-23,669,32735,ITA
2020-05-24,531,32785,ITA
2020-05-25,300,32877,ITA
2020-05-26,397,32955,ITA
2020-05-27,584,33072,ITA
2020-05-28,593,33142,ITA
2020-05-29,516,33229,ITA
2020-05-30,416,33340,ITA
2020-05-31,355,33415,ITA
2020-06-01,178,33475,ITA
2020-06-02,318,33530,ITA
2020-06-03,321,33601,ITA
2020-06-04,177,33689,ITA
2020-06-05,518,33774,ITA
2020-06-06,270,33846,ITA
2020-06-07,197,33899,ITA
2020-06-08,280,33964,ITA
2020-06-09,283,34043,ITA
2020-06-10,202,34114,ITA
2020-06-11,379,34167,ITA
2020-06-12,163,34223,ITA
2020-06-13,346,34301,ITA
2020-06-14,338,34345,ITA
2020-06-15,303,34371,ITA
2020-06-16,210,34405,ITA
2020-06-17,329,34448,ITA
2020-06-18,333,34514,ITA
2020-06-19,251,34561,ITA
2020-06-20,262,34610,ITA
2020-06-21,224,34634,ITA
2020-06-22,218,34657,ITA
2020-06-23,122,34675,ITA
2020-06-24,190,34644,ITA
2020-06-25,296,34678,ITA
2020-06-26,259,34708,ITA
2020-06-27,175,34716,ITA
2020-06-28,174,34738,ITA
2020-06-29,126,34744,ITA
2020-06-30,142,34767,ITA
2020-07-01,187,34788,ITA
2020-07-02,201,34818,ITA
2020-07-03,223,34833,ITA
2020-07-04,235,34854,ITA
2020-07-05,192,34861,ITA
2020-07-06,208,34869,ITA
2020-07-07,138,34899,ITA
2020-07-08,193,34914,ITA
2020-07-09,229,34926,ITA
2020-07-10,276,34938,ITA
2020-07-11,188,34945,ITA
2020-07-12,234,34954,ITA
2020-07-13,169,34967,ITA
2020-07-14,114,34984,ITA
2020-07-15,163,34997,ITA
2020-07-16,230,35017,ITA
2020-07-17,233,35028,ITA
2020-07-18,249,35042,ITA
2020-07-19,219,35045,ITA
2020-07-20,190,35058,ITA
2020-07-21,129,35073,ITA
2020-07-22,282,35082,ITA
2020-07-23,306,35092,ITA
2020-07-24,252,35097,ITA
2020-07-25,275,35102,ITA
2020-07-26,255,35107,ITA
2020-07-27,170,35112,ITA
2020-07-28,212,35123,ITA
2020-07-29,289,35129,ITA
2020-07-30,386,35132,ITA
2020-07-31,379,35141,ITA
2020-08-01,295,35146,ITA
2020-08-02,239,35154,ITA
