year_week,country_code,age_group,new_cases
2020-09,AT,15-24yr,4
2020-10,AT,15-24yr,14
2020-11,AT,15-24yr,103
2020-12,AT,15-24yr,285
2020-13,AT,15-24yr,435
2020-14,AT,15-24yr,308
2020-15,AT,15-24yr,178
2020-16,AT,15-24yr,54
2020-17,AT,15-24yr,38
2020-18,AT,15-24yr,25
2020-19,AT,15-24yr,36
2020-20,AT,15-24yr,40
2020-21,AT,15-24yr,33
2020-22,AT,15-24yr,23
2020-23,AT,15-24yr,31
2020-24,AT,15-24yr,26
2020-25,AT,15-24yr,50
2020-26,AT,15-24yr,55
2020-27,AT,15-24yr,96
2020-28,AT,15-24yr,112
2020-29,AT,15-24yr,128
2020-30,AT,15-24yr,203
2020-31,AT,15-24yr,203
2020-32,AT,15-24yr,198
2020-33,AT,15-24yr,577
2020-34,AT,15-24yr,662
2020-35,AT,15-24yr,517
2020-36,AT,15-24yr,552
2020-37,AT,15-24yr,963
2020-38,AT,15-24yr,1303
2020-39,AT,15-24yr,919
2020-40,AT,15-24yr,1078
2020-41,AT,15-24yr,1320
2020-42,AT,15-24yr,1648
2020-43,AT,15-24yr,2962
2020-44,AT,15-24yr,4933
2020-45,AT,15-24yr,6651
2020-46,AT,15-24yr,6323
2020-47,AT,15-24yr,4790
2020-48,AT,15-24yr,3804
2020-49,AT,15-24yr,2611
2020-50,AT,15-24yr,2140
2020-51,AT,15-24yr,1679
2020-52,AT,15-24yr,1508
2020-53,AT,15-24yr,1851
2021-01,AT,15-24yr,1909
2021-02,AT,15-24yr,1492
2021-03,AT,15-24yr,1433
2021-04,AT,15-24yr,1199
2021-05,AT,15-24yr,1194
2021-06,AT,15-24yr,1352
2021-07,AT,15-24yr,1638
2021-08,AT,15-24yr,2012
2021-09,AT,15-24yr,2417
2021-10,AT,15-24yr,2860
2021-11,AT,15-24yr,3255
2021-12,AT,15-24yr,3472
2021-13,AT,15-24yr,3242
2020-09,AT,25-49yr,5
2020-10,AT,25-49yr,53
2020-11,AT,25-49yr,411
2020-12,AT,25-49yr,1204
2020-13,AT,25-49yr,1900
2020-14,AT,25-49yr,1093
2020-15,AT,25-49yr,592
2020-16,AT,25-49yr,217
2020-17,AT,25-49yr,160
2020-18,AT,25-49yr,128
2020-19,AT,25-49yr,109
