YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum
2020-52,CZ,15-24yr,2546
2020-52,EE,15-24yr,3
2020-52,EL,15-24yr,481
2020-52,FI,15-24yr,24
2020-52,FR,15-24yr,0
2020-52,HR,15-24yr,0
2020-52,HU,15-24yr,1115
2020-52,IT,15-24yr,7231
2020-52,LT,15-24yr,2502
2020-52,LU,15-24yr,0
2020-52,MT,15-24yr,61
2020-52,PL,15-24yr,2257
2020-52,PT,15-24yr,5143
2020-52,SE,15-24yr,1979
2020-52,SI,15-24yr,6050
2020-53,AT,15-24yr,10128
2020-53,BE,15-24yr,1603
2020-53,BG,15-24yr,4781
2020-53,CZ,15-24yr,31108
2020-53,DK,15-24yr,47751
2020-53,EE,15-24yr,23
2020-53,EL,15-24yr,8224
2020-53,FI,15-24yr,5735
2020-53,FR,15-24yr,588
2020-53,HR,15-24yr,12426
2020-53,HU,15-24yr,14308
2020-53,IE,15-24yr,2163
2020-53,IS,15-24yr,5062
2020-53,IT,15-24yr,132867
2020-53,LT,15-24yr,12405
2020-53,LU,15-24yr,1269
2020-53,LV,15-24yr,2367
2020-53,MT,15-24yr,1871
2020-53,PL,15-24yr,57373
2020-53,PT,15-24yr,39630
2020-53,SE,15-24yr,18060
2020-53,SI,15-24yr,18870
2021-01,AT,15-24yr,66899
2021-01,BE,15-24yr,56608
2021-01,BG,15-24yr,22914
2021-01,CZ,15-24yr,127460
2021-01,DK,15-24yr,160608
2021-01,EE,15-24yr,295
2021-01,EL,15-24yr,97236
2021-01,FI,15-24yr,26845
2021-01,FR,15-24yr,100837
2021-01,HR,15-24yr,46852
2021-01,HU,15-24yr,97814
2021-01,IE,15-24yr,57579
2021-01,IT,15-24yr,904927
2021-01,LT,15-24yr,33604
2021-01,LU,15-24yr,3457
2021-01,LV,15-24yr,9404
2021-01,MT,15-24yr,8061
2021-01,PL,15-24yr,308279
2021-01,PT,15-24yr,112531
2021-01,SE,15-24yr,73679
2021-01,SI,15-24yr,45571
2021-02,AT,15-24yr,258281
2021-02,BE,15-24yr,305924
2021-02,BG,15-24yr,44524
2021-02,CZ,15-24yr,340232
2021-02,DK,15-24yr,280756
2021-02,EE,15-24yr,2410
2021-02,EL,15-24yr,250107
2021-02,FI,15-24yr,82676
2021-02,FR,15-24yr,619302
2021-02,HR,15-24yr,92231
2021-02,HU,15-24yr,267795
2021-02,IE,15-24yr,202379
2021-02,IS,15-24yr,16219
2021-02,IT,15-24yr,2000726
2021-02,LT,15-24yr,75523
2021-02,LU,15-24yr,6435
2021-02,LV,15-24yr,23271
2021-02,MT,15-24yr,20511
