YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum,new_cases
2020-52,CZ,15-24yr,2546,4326
2020-52,EE,15-24yr,3,363
2020-52,EL,15-24yr,481,443
2020-52,FI,15-24yr,24,287
2020-52,HR,15-24yr,0,1021
2020-52,HU,15-24yr,1115,635
2020-52,IT,15-24yr,7231,8689
2020-52,LT,15-24yr,2502,1481
2020-52,LU,15-24yr,0,101
2020-52,MT,15-24yr,61,77
2020-52,PL,15-24yr,2257,881
2020-52,PT,15-24yr,5143,2380
2020-52,SE,15-24yr,1979,4612
2020-52,SI,15-24yr,6050,675
2020-53,AT,15-24yr,10128,1851
2020-53,BE,15-24yr,1603,1329
2020-53,CZ,15-24yr,31108,6554
2020-53,DK,15-24yr,47751,2253
2020-53,EE,15-24yr,23,365
2020-53,EL,15-24yr,8224,502
2020-53,FI,15-24yr,5735,304
2020-53,HR,15-24yr,12426,995
2020-53,HU,15-24yr,14308,686
2020-53,IE,15-24yr,2163,4385
2020-53,IS,15-24yr,5062,20
2020-53,IT,15-24yr,132867,11654
2020-53,LT,15-24yr,12405,1297
2020-53,LU,15-24yr,1269,127
2020-53,LV,15-24yr,2367,481
2020-53,MT,15-24yr,1871,118
2020-53,PL,15-24yr,57373,2143
2020-53,PT,15-24yr,39630,4393
2020-53,SE,15-24yr,18060,5385
2020-53,SI,15-24yr,18870,884
2021-01,AT,15-24yr,66899,1909
2021-01,BE,15-24yr,56608,1809
2021-01,CZ,15-24yr,127460,8368
2021-01,DK,15-24yr,160608,1933
2021-01,EE,15-24yr,295,503
2021-01,EL,15-24yr,97236,489
2021-01,FI,15-24yr,26845,339
2021-01,HR,15-24yr,46852,1049
2021-01,HU,15-24yr,97814,1038
2021-01,IE,15-24yr,57579,8445
2021-01,IT,15-24yr,904927,13432
2021-01,LT,15-24yr,33604,1302
2021-01,LU,15-24yr,3457,80
2021-01,LV,15-24yr,9404,663
2021-01,MT,15-24yr,8061,203
2021-01,PL,15-24yr,308279,982
2021-01,PT,15-24yr,112531,7729
2021-01,SE,15-24yr,73679,6454
2021-01,SI,15-24yr,45571,1386
2021-02,AT,15-24yr,258281,1492
2021-02,BE,15-24yr,305924,1714
2021-02,CZ,15-24yr,340232,4854
2021-02,DK,15-24yr,280756,941
2021-02,EE,15-24yr,2410,432
2021-02,EL,15-24yr,250107,321
2021-02,FI,15-24yr,82676,309
2021-02,HR,15-24yr,92231,1158
2021-02,HU,15-24yr,267795,564
2021-02,IE,15-24yr,202379,3255
2021-02,IS,15-24yr,16219,14
2021-02,IT,15-24yr,2000726,9896
2021-02,LT,15-24yr,75523,634
2021-02,LU,15-24yr,6435,68
2021-02,LV,15-24yr,23271,491
2021-02,MT,15-24yr,20511,178
2021-02,PL,15-24yr,847564,1935
2021-02,PT,15-24yr,206933,8503
2021-02,SE,15-24yr,204029,4770
2021-02,SI,15-24yr,92960,771
2021-03,AT,15-24yr,533655,1433
2021-03,BE,15-24yr,747660,1847
2021-03,CZ,15-24yr,638236,3898
2021-03,DK,15-24yr,375144,706
2021-03,EE,15-24yr,12534,409
2021-03,EL,15-24yr,474324,287
2021-03,FI,15-24yr,179405,441
2021-03,HR,15-24yr,141203,1027
2021-03,HU,15-24yr,401870,485
2021-03,IE,15-24yr,347226,1909
2021-03,IS,15-24yr,27552,2
2021-03,IT,15-24yr,3221549,8510
2021-03,LT,15-24yr,118808,539
2021-03,LU,15-24yr,13694,69
2021-03,LV,15-24yr,35159,372
2021-03,MT,15-24yr,39177,141
2021-03,NO,15-24yr,80022,382
2021-03,PL,15-24yr,1467491,1586
2021-03,PT,15-24yr,413059,10436
2021-03,SE,15-24yr,416032,3371
2021-03,SI,15-24yr,130119,667
2021-04,AT,15-24yr,723394,1199
2021-04,BE,15-24yr,1166308,2038
2021-04,CZ,15-24yr,916025,3904
2021-04,DK,15-24yr,526647,452
2021-04,EE,15-24yr,37845,380
2021-04,EL,15-24yr,790149,476
2021-04,FI,15-24yr,289195,609
2021-04,HR,15-24yr,188051,805
2021-04,HU,15-24yr,616603,553
2021-04,IE,15-24yr,495893,1246
2021-04,IS,15-24yr,43434,2
2021-04,IT,15-24yr,4235264,8348
2021-04,LT,15-24yr,160446,504
2021-04,LU,15-24yr,23531,101
2021-04,LV,15-24yr,43014,401
2021-04,MT,15-24yr,59713,137
2021-04,NO,15-24yr,153691,328
2021-04,PL,15-24yr,2256487,1604
2021-04,PT,15-24yr,646030,9591
2021-04,SE,15-24yr,632071,2852
2021-04,SI,15-24yr,167087,753
2021-05,AT,15-24yr,960785,1194
2021-05,BE,15-24yr,1615891,2005
2021-05,CZ,15-24yr,1194539,4150
2021-05,DK,15-24yr,671023,463
2021-05,EE,15-24yr,75342,414
2021-05,EL,15-24yr,1197115,615
2021-05,FI,15-24yr,398007,543
2021-05,HR,15-24yr,228206,723
2021-05,HU,15-24yr,980142,535
2021-05,IE,15-24yr,650419,1119
2021-05,IS,15-24yr,45887,1
2021-05,IT,15-24yr,5913986,8799
2021-05,LT,15-24yr,216113,339
2021-05,LU,15-24yr,35040,110
2021-05,LV,15-24yr,56343,485
2021-05,MT,15-24yr,85859,81
2021-05,NO,15-24yr,291277,330
2021-05,PL,15-24yr,3351618,1249
2021-05,PT,15-24yr,786949,4691
2021-05,SE,15-24yr,838491,2938
2021-05,SI,15-24yr,215533,652
2021-06,AT,15-24yr,1283552,1352
2021-06,BE,15-24yr,2177893,1758
2021-06,CZ,15-24yr,1530950,4541
2021-06,DK,15-24yr,972145,456
2021-06,EE,15-24yr,110705,602
2021-06,EL,15-24yr,1619006,834
2021-06,FI,15-24yr,507686,464
2021-06,HR,15-24yr,279263,696
2021-06,HU,15-24yr,1212750,753
2021-06,IE,15-24yr,782308,1151
2021-06,IS,15-24yr,50838,1
2021-06,IT,15-24yr,7460442,9308
2021-06,LT,15-24yr,274599,245
2021-06,LU,15-24yr,47886,85
2021-06,LV,15-24yr,69944,390
2021-06,MT,15-24yr,111888,145
2021-06,NO,15-24yr,462665,298
2021-06,PL,15-24yr,4426755,1375
2021-06,PT,15-24yr,986133,2105
2021-06,SE,15-24yr,1074687,3174
2021-06,SI,15-24yr,261792,518
2021-07,AT,15-24yr,1596343,1638
2021-07,BE,15-24yr,2692047,1998
2021-07,CZ,15-24yr,1875208,5765
2021-07,DK,15-24yr,1174313,604
2021-07,EE,15-24yr,145661,752
2021-07,EL,15-24yr,2108930,863
2021-07,FI,15-24yr,645783,675
2021-07,HR,15-24yr,353575,571
2021-07,HU,15-24yr,1506629,1122
2021-07,IE,15-24yr,928106,1151
2021-07,IS,15-24yr,62958,2
2021-07,IT,15-24yr,8709403,10392
2021-07,LT,15-24yr,338003,286
2021-07,LU,15-24yr,62999,118
2021-07,LV,15-24yr,83697,390
2021-07,MT,15-24yr,137097,171
2021-07,NO,15-24yr,628591,414
2021-07,PL,15-24yr,5537815,1234
2021-07,PT,15-24yr,1273435,1289
2021-07,SE,15-24yr,1357830,3517
2021-07,SI,15-24yr,311607,547
2021-08,AT,15-24yr,1946959,2012
2021-08,BE,15-24yr,3165566,2468
2021-08,CZ,15-24yr,2223299,7346
2021-08,DK,15-24yr,1420843,666
2021-08,EE,15-24yr,196057,1107
2021-08,EL,15-24yr,2673242,1375
2021-08,FI,15-24yr,830529,668
2021-08,HR,15-24yr,458750,430
2021-08,HU,15-24yr,2055315,2082
2021-08,IE,15-24yr,1190872,916
2021-08,IS,15-24yr,78437,1
2021-08,IT,15-24yr,10208970,14639
2021-08,LT,15-24yr,421111,321
2021-08,LU,15-24yr,79628,138
2021-08,LV,15-24yr,109077,385
2021-08,MT,15-24yr,169721,258
2021-08,NO,15-24yr,812322,590
2021-08,PL,15-24yr,6770743,930
2021-08,PT,15-24yr,1614490,789
