year_week,country,WeekValue
2020-W06,Belgium,
2020-W07,Belgium,
2020-W08,Belgium,
2020-W09,Belgium,
2020-W10,Belgium,
2020-W11,Belgium,13.22636525
2020-W12,Belgium,13.22636525
2020-W13,Belgium,30.29740229
2020-W14,Belgium,30.75737431
2020-W15,Belgium,24.37851705
2020-W16,Belgium,16.68049476
2020-W17,Belgium,12.16756173
2020-W18,Belgium,7.7327371629999995
2020-W19,Belgium,5.41551963
2020-W20,Belgium,3.723169745
2020-W21,Belgium,2.98547877
2020-W22,Belgium,2.126285752
2020-W23,Belgium,1.562169124
2020-W24,Belgium,1.2410565820000001
2020-W25,Belgium,1.058803517
2020-W26,Belgium,0.8505143009999999
2020-W27,Belgium,0.685618671
2020-W28,Belgium,0.564116628
2020-W29,Belgium,0.815799431
2020-W30,Belgium,1.076160952
2020-W31,Belgium,1.458024516
2020-W32,Belgium,1.64027758
2020-W33,Belgium,2.117607035
2020-W34,Belgium,1.47538195
2020-W35,Belgium,0.893907888
2020-W36,Belgium,1.032767365
2020-W37,Belgium,1.848566797
2020-W38,Belgium,2.751153402
2020-W39,Belgium,3.888065375
2020-W40,Belgium,4.695186089
2020-W41,Belgium,7.637271272
2020-W42,Belgium,15.36132972
2020-W43,Belgium,28.54430138
2020-W44,Belgium,39.86134881
2020-W45,Belgium,36.29439598
2020-W46,Belgium,28.14508038
2020-W47,Belgium,18.49434668
2020-W48,Belgium,13.92066264
2020-W49,Belgium,11.48194306
2020-W50,Belgium,11.25629641
2020-W51,Belgium,10.89179028
2020-W52,Belgium,9.74619959
2020-W53,Belgium,8.843612985
2021-W01,Belgium,8.010456119
2021-W02,Belgium,7.290122577999999
2021-W03,Belgium,8.600608899
2021-W04,Belgium,7.264086426
2021-W05,Belgium,8.053849705
2021-W06,Belgium,7.238050274
2021-W07,Belgium,7.255407709
2021-W08,Belgium,9.103974505
2021-W09,Belgium,8.860970419
2021-W10,Belgium,9.824308046
2021-W11,Belgium,12.61017632
2021-W12,Belgium,27.68510836
2021-W13,Belgium,46.37038683
2020-W16,Croatia,1.774200901
2020-W17,Croatia,2.5134512769999997
2020-W18,Croatia,0.5914003000000001
2020-W19,Croatia,0.985667167
2020-W20,Croatia,0.369625188
2020-W21,Croatia,0.369625188
2020-W22,Croatia,0.024641679
2020-W23,Croatia,0.0
2020-W24,Croatia,0.073925038
2020-W25,Croatia,0.147850075
2020-W26,Croatia,1.404575713
2020-W27,Croatia,1.650992505
2020-W28,Croatia,2.340959522
2020-W29,Croatia,2.4641679180000002
2020-W30,Croatia,2.020617693
2020-W31,Croatia,1.8727676180000001
2020-W32,Croatia,1.577067468
2020-W33,Croatia,1.724917543
2020-W34,Croatia,2.41488456
2020-W35,Croatia,4.657277366000001
2020-W36,Croatia,5.7661529289999995
2020-W37,Croatia,5.396527741
2020-W38,Croatia,4.21372714
2020-W39,Croatia,5.0515442319999995
2020-W40,Croatia,5.71686957
2020-W41,Croatia,8.353529242999999
2020-W42,Croatia,12.88759821
2020-W43,Croatia,20.23081861
2020-W44,Croatia,26.71158023
2020-W45,Croatia,32.03418294
2020-W46,Croatia,37.33214396
2020-W47,Croatia,39.59917845
2020-W48,Croatia,44.42894757
2020-W49,Croatia,54.01456077
2020-W50,Croatia,57.51367921
2020-W51,Croatia,53.39851879
2020-W52,Croatia,41.52122942
2020-W53,Croatia,37.45535236
2021-W01,Croatia,29.64394006
2021-W02,Croatia,23.95171217
2021-W03,Croatia,20.20617693
2021-W04,Croatia,17.61880062
2021-W05,Croatia,15.91852475
2021-W06,Croatia,11.50766418
2021-W07,Croatia,11.4830225
2021-W08,Croatia,11.43373914
2021-W09,Croatia,12.76438982
2021-W10,Croatia,14.93285758
2021-W11,Croatia,17.47095054
2021-W12,Croatia,23.06461171
2021-W13,Croatia,30.92530737
2020-W05,Cyprus,0.112611979
2020-W06,Cyprus,
2020-W07,Cyprus,
2020-W08,Cyprus,
2020-W09,Cyprus,
2020-W10,Cyprus,0.112611979
2020-W11,Cyprus,0.900895828
2020-W12,Cyprus,2.590075506
2020-W13,Cyprus,5.9684348620000005
2020-W14,Cyprus,4.166643206
2020-W15,Cyprus,2.252239571
2020-W16,Cyprus,1.238731764
2020-W17,Cyprus,0.6756718709999999
2020-W18,Cyprus,0.6756718709999999
2020-W19,Cyprus,0.6756718709999999
2020-W20,Cyprus,0.112611979
2020-W21,Cyprus,0.112611979
2020-W22,Cyprus,0.112611979
2020-W23,Cyprus,0.112611979
2020-W24,Cyprus,0.112611979
2020-W25,Cyprus,0.112611979
2020-W26,Cyprus,0.225223957
2020-W27,Cyprus,
2020-W28,Cyprus,
2020-W29,Cyprus,0.112611979
2020-W30,Cyprus,0.112611979
2020-W31,Cyprus,0.900895828
2020-W32,Cyprus,0.450447914
2020-W33,Cyprus,0.225223957
2020-W34,Cyprus,0.450447914
2020-W35,Cyprus,0.5630598929999999
2020-W36,Cyprus,0.112611979
2020-W37,Cyprus,0.225223957
2020-W38,Cyprus,0.6756718709999999
2020-W39,Cyprus,1.6891796780000001
2020-W40,Cyprus,0.450447914
2020-W41,Cyprus,0.78828385
2020-W42,Cyprus,3.265747378
2020-W43,Cyprus,3.716195292
2020-W44,Cyprus,4.504479141
2020-W45,Cyprus,7.207166626
2020-W46,Cyprus,6.7567187120000005
2020-W47,Cyprus,8.108062455
2020-W48,Cyprus,9.572018176
2020-W49,Cyprus,8.44589839
2020-W50,Cyprus,8.896346304
2020-W51,Cyprus,11.93686972
2020-W52,Cyprus,11.37380983
2020-W53,Cyprus,13.85127336
2021-W01,Cyprus,14.97739315
2021-W02,Cyprus,13.17560149
2021-W03,Cyprus,10.81074994
2021-W04,Cyprus,7.995450476
2021-W05,Cyprus,7.65761454
2021-W06,Cyprus,5.9684348620000005
2021-W07,Cyprus,7.432390582999999
2021-W08,Cyprus,6.531494755
2021-W09,Cyprus,12.16209368
2021-W10,Cyprus,19.81970822
2021-W11,Cyprus,18.80620042
2021-W12,Cyprus,15.87828897
2021-W13,Cyprus,14.07649732
2020-W05,Czechia,
2020-W06,Czechia,
2020-W07,Czechia,
2020-W08,Czechia,
2020-W09,Czechia,
2020-W10,Czechia,
2020-W11,Czechia,0.07480873
2020-W12,Czechia,1.122130957
2020-W13,Czechia,3.272881957
2020-W14,Czechia,4.834514205
2020-W15,Czechia,5.4142818660000005
2020-W16,Czechia,4.815812022
2020-W17,Czechia,4.460470553
2020-W18,Czechia,3.4692548739999998
2020-W19,Czechia,2.655709931
2020-W20,Czechia,1.8141117130000002
2020-W21,Czechia,1.3652593309999999
2020-W22,Czechia,1.122130957
2020-W23,Czechia,0.9351091309999999
2020-W24,Czechia,0.8509493090000001
2020-W25,Czechia,1.066024409
2020-W26,Czechia,1.00056677
2020-W27,Czechia,0.991215678
2020-W28,Czechia,1.00056677
2020-W29,Czechia,1.019268952
2020-W30,Czechia,1.2249929609999999
2020-W31,Czechia,1.589685522
2020-W32,Czechia,1.64579207
2020-W33,Czechia,1.786058439
2020-W34,Czechia,1.898271535
2020-W35,Czechia,2.1694531830000003
2020-W36,Czechia,3.029753583
2020-W37,Czechia,4.647492379
2020-W38,Czechia,7.8923210610000005
2020-W39,Czechia,12.70813308
2020-W40,Czechia,18.41229878
2020-W41,Czechia,31.64409298
2020-W42,Czechia,52.56248423
2020-W43,Czechia,84.21592829
2020-W44,Czechia,109.9127272
2020-W45,Czechia,119.9557993
2020-W46,Czechia,108.25758400000001
2020-W47,Czechia,88.15273773
2020-W48,Czechia,77.60470674
2020-W49,Czechia,69.10456474
2020-W50,Czechia,67.78606087
2020-W51,Czechia,71.42363539
2020-W52,Czechia,76.86597053
2020-W53,Czechia,95.60555749999999
2021-W01,Czechia,113.36327990000001
2021-W02,Czechia,106.87362250000001
2021-W03,Czechia,97.90592596
2021-W04,Czechia,90.35959528
2021-W05,Czechia,89.35902851
2021-W06,Czechia,91.66874806
2021-W07,Czechia,99.38339839
2021-W08,Czechia,112.83961880000001
2021-W09,Czechia,127.3151081
