year_week,country,WeekValue
2020-W11,Cyprus,
2020-W12,Cyprus,0.5630598929999999
2020-W13,Cyprus,2.027015614
2020-W14,Cyprus,1.013507807
2020-W15,Cyprus,0.900895828
2020-W16,Cyprus,0.5630598929999999
2020-W17,Cyprus,0.225223957
2020-W18,Cyprus,0.112611979
2020-W19,Cyprus,0.112611979
2020-W20,Cyprus,
2020-W21,Cyprus,0.112611979
2020-W22,Cyprus,
2020-W23,Cyprus,
2020-W24,Cyprus,
2020-W25,Cyprus,
2020-W26,Cyprus,
2020-W27,Cyprus,
2020-W28,Cyprus,
2020-W29,Cyprus,
2020-W30,Cyprus,
2020-W31,Cyprus,
2020-W32,Cyprus,
2020-W33,Cyprus,
2020-W34,Cyprus,0.112611979
2020-W35,Cyprus,
2020-W36,Cyprus,0.112611979
2020-W37,Cyprus,0.112611979
2020-W38,Cyprus,
2020-W39,Cyprus,0.112611979
2020-W40,Cyprus,0.5630598929999999
2020-W41,Cyprus,
2020-W42,Cyprus,0.337835936
2020-W43,Cyprus,0.112611979
2020-W44,Cyprus,0.112611979
2020-W45,Cyprus,0.112611979
2020-W46,Cyprus,0.225223957
2020-W47,Cyprus,0.450447914
2020-W48,Cyprus,0.225223957
2020-W49,Cyprus,0.225223957
2020-W50,Cyprus,0.5630598929999999
2020-W51,Cyprus,0.337835936
2020-W52,Cyprus,1.5765677
2020-W53,Cyprus,2.477463528
2021-W01,Cyprus,1.6891796780000001
2021-W02,Cyprus,1.914403635
2021-W03,Cyprus,1.6891796780000001
2021-W04,Cyprus,1.013507807
2021-W05,Cyprus,0.900895828
2021-W06,Cyprus,1.013507807
2021-W07,Cyprus,1.3513437419999998
2021-W08,Cyprus,0.450447914
2021-W09,Cyprus,0.900895828
2021-W10,Cyprus,2.702687485
2021-W11,Cyprus,2.027015614
2021-W12,Cyprus,2.927911442
2021-W13,Cyprus,2.252239571
2020-W05,Czechia,
2020-W06,Czechia,
2020-W07,Czechia,
2020-W08,Czechia,
2020-W09,Czechia,
2020-W10,Czechia,
2020-W11,Czechia,
2020-W12,Czechia,0.271181648
2020-W13,Czechia,0.832247126
2020-W14,Czechia,1.196939687
2020-W15,Czechia,1.3652593309999999
2020-W16,Czechia,1.21564187
2020-W17,Czechia,1.1034287740000002
2020-W18,Czechia,0.729385122
2020-W19,Czechia,0.57041657
2020-W20,Czechia,0.439501291
2020-W21,Czechia,0.299234922
2020-W22,Czechia,0.19637291699999998
2020-W23,Czechia,0.15896855199999999
2020-W24,Czechia,0.149617461
2020-W25,Czechia,0.130915278
2020-W26,Czechia,0.149617461
2020-W27,Czechia,0.16831964300000002
2020-W28,Czechia,0.21507510000000002
2020-W29,Czechia,0.16831964300000002
2020-W30,Czechia,0.16831964300000002
2020-W31,Czechia,0.20572400899999999
2020-W32,Czechia,0.271181648
2020-W33,Czechia,0.299234922
2020-W34,Czechia,0.383394744
2020-W35,Czechia,0.542363296
2020-W36,Czechia,0.710682939
2020-W37,Czechia,0.944460222
2020-W38,Czechia,1.673845344
2020-W39,Czechia,2.7118164780000003
2020-W40,Czechia,3.9835648960000003
2020-W41,Czechia,6.508359548
2020-W42,Czechia,9.070558566
2020-W43,Czechia,13.24114529
2020-W44,Czechia,16.672995800000002
2020-W45,Czechia,18.8237468
2020-W46,Czechia,17.32757219
2020-W47,Czechia,15.26098101
2020-W48,Czechia,13.16633656
2020-W49,Czechia,11.43638467
2020-W50,Czechia,11.26806502
2020-W51,Czechia,11.67951304
2020-W52,Czechia,12.96061255
2020-W53,Czechia,15.93425958
2021-W01,Czechia,18.22527695
2021-W02,Czechia,18.7115337
2021-W03,Czechia,17.318221100000002
2021-W04,Czechia,16.48597397
2021-W05,Czechia,17.46783856
2021-W06,Czechia,18.00085076
2021-W07,Czechia,19.7869092
2021-W08,Czechia,22.66704532
2021-W09,Czechia,26.14565129
2021-W10,Czechia,27.89430536
2021-W11,Czechia,27.67923026
2021-W12,Czechia,26.08019365
2021-W13,Czechia,22.34910822
2020-W09,Estonia,
2020-W10,Estonia,
2020-W11,Estonia,
2020-W12,Estonia,
2020-W13,Estonia,3.912786988
2020-W14,Estonia,
2020-W15,Estonia,
2020-W16,Estonia,
2020-W17,Estonia,0.601967229
2020-W18,Estonia,0.601967229
2020-W19,Estonia,0.376229518
2020-W20,Estonia,0.376229518
2020-W21,Estonia,0.075245904
2020-W22,Estonia,0.075245904
2020-W23,Estonia,
