year_week,country,WeekValue
2020-W14,Austria,4046.0
2020-W15,Austria,5683.0
2020-W16,Austria,4941.0
2020-W17,Austria,3607.0
2020-W18,Austria,2592.0
2020-W19,Austria,1919.0
2020-W20,Austria,1256.0
2020-W21,Austria,939.0
2020-W22,Austria,587.0
2020-W23,Austria,423.0
2020-W24,Austria,439.0
2020-W25,Austria,449.0
2020-W26,Austria,418.0
2020-W27,Austria,438.0
2020-W28,Austria,492.0
2020-W29,Austria,577.0
2020-W30,Austria,625.0
2020-W31,Austria,541.0
2020-W32,Austria,646.0
2020-W33,Austria,610.0
2020-W34,Austria,661.0
2020-W35,Austria,808.0
2020-W36,Austria,873.0
2020-W37,Austria,1115.0
2020-W38,Austria,1793.0
2020-W39,Austria,2330.0
2020-W40,Austria,2725.0
2020-W41,Austria,2854.0
2020-W42,Austria,3840.0
2020-W43,Austria,6005.0
2020-W44,Austria,9927.0
2020-W45,Austria,16032.0
2020-W46,Austria,22616.0
2020-W47,Austria,27010.0
2020-W48,Austria,26324.0
2020-W49,Austria,24154.0
2020-W50,Austria,21970.0
2020-W51,Austria,18853.0
2020-W52,Austria,15446.0
2020-W53,Austria,13743.0
2021-W01,Austria,13820.0
2021-W02,Austria,12399.0
2021-W03,Austria,11320.0
2021-W04,Austria,10335.0
2021-W05,Austria,9455.0
2021-W06,Austria,8360.0
2021-W07,Austria,7336.0
2021-W08,Austria,7295.0
2021-W09,Austria,7843.0
2021-W10,Austria,8904.0
2021-W11,Austria,10139.0
2021-W12,Austria,11443.0
2021-W13,Austria,12111.0
2020-W11,Belgium,266.0
2020-W12,Belgium,6488.0
2020-W13,Belgium,22040.0
2020-W14,Belgium,37153.0
2020-W15,Belgium,39267.0
2020-W16,Belgium,36518.0
2020-W17,Belgium,30763.0
2020-W18,Belgium,23937.0
2020-W19,Belgium,18029.0
2020-W20,Belgium,13132.0
2020-W21,Belgium,9955.0
2020-W22,Belgium,6976.0
2020-W23,Belgium,4879.0
2020-W24,Belgium,3285.0
2020-W25,Belgium,2343.0
2020-W26,Belgium,1819.0
2020-W27,Belgium,1364.0
2020-W28,Belgium,1077.0
2020-W29,Belgium,1056.0
2020-W30,Belgium,1386.0
2020-W31,Belgium,1767.0
2020-W32,Belgium,1977.0
2020-W33,Belgium,2187.0
2020-W34,Belgium,2249.0
2020-W35,Belgium,1834.0
2020-W36,Belgium,1552.0
2020-W37,Belgium,1801.0
2020-W38,Belgium,2602.0
2020-W39,Belgium,4047.0
2020-W40,Belgium,5410.0
2020-W41,Belgium,7834.0
2020-W42,Belgium,13687.0
2020-W43,Belgium,25964.0
2020-W44,Belgium,42692.0
2020-W45,Belgium,50469.0
2020-W46,Belgium,47953.0
2020-W47,Belgium,39861.0
2020-W48,Belgium,31003.0
2020-W49,Belgium,24449.0
2020-W50,Belgium,20930.0
2020-W51,Belgium,18727.0
2020-W52,Belgium,17012.0
2020-W53,Belgium,15765.0
2021-W01,Belgium,14328.0
2021-W02,Belgium,13447.0
2021-W03,Belgium,13547.0
2021-W04,Belgium,12909.0
2021-W05,Belgium,12247.0
2021-W06,Belgium,11465.0
2021-W07,Belgium,11230.0
2021-W08,Belgium,12509.0
2021-W09,Belgium,13377.0
2021-W10,Belgium,13642.0
2021-W11,Belgium,15024.0
2021-W12,Belgium,17483.0
2021-W13,Belgium,20438.0
2020-W15,Bulgaria,1581.0
2020-W16,Bulgaria,1633.0
2020-W17,Bulgaria,1953.0
2020-W18,Bulgaria,2165.0
2020-W19,Bulgaria,2430.0
2020-W20,Bulgaria,2449.0
2020-W21,Bulgaria,1950.0
2020-W22,Bulgaria,1408.0
2020-W23,Bulgaria,1018.0
2020-W24,Bulgaria,1324.0
2020-W25,Bulgaria,1965.0
2020-W26,Bulgaria,2614.0
2020-W27,Bulgaria,3094.0
2020-W28,Bulgaria,3482.0
2020-W29,Bulgaria,3983.0
2020-W30,Bulgaria,4526.0
2020-W31,Bulgaria,5111.0
2020-W32,Bulgaria,5935.0
2020-W33,Bulgaria,5844.0
2020-W34,Bulgaria,5352.0
2020-W35,Bulgaria,5076.0
2020-W36,Bulgaria,5230.0
2020-W37,Bulgaria,5271.0
2020-W38,Bulgaria,5143.0
2020-W39,Bulgaria,5191.0
2020-W40,Bulgaria,5881.0
2020-W41,Bulgaria,7234.0
2020-W42,Bulgaria,9473.0
2020-W43,Bulgaria,12081.0
2020-W44,Bulgaria,16134.0
2020-W45,Bulgaria,22336.0
2020-W46,Bulgaria,31363.0
2020-W47,Bulgaria,39705.0
2020-W48,Bulgaria,45665.0
2020-W49,Bulgaria,47391.0
2020-W50,Bulgaria,49117.0
2020-W51,Bulgaria,48395.0
2020-W52,Bulgaria,41544.0
2020-W53,Bulgaria,35225.0
2021-W01,Bulgaria,30268.0
2021-W02,Bulgaria,26493.0
2021-W03,Bulgaria,21986.0
2021-W04,Bulgaria,19970.0
2021-W05,Bulgaria,20842.0
2021-W06,Bulgaria,22531.0
2021-W07,Bulgaria,25297.0
2021-W08,Bulgaria,29596.0
2021-W09,Bulgaria,36022.0
2021-W10,Bulgaria,44461.0
2021-W11,Bulgaria,54733.0
2021-W12,Bulgaria,63786.0
2021-W13,Bulgaria,70477.0
2020-W16,Croatia,1777.0
2020-W17,Croatia,2231.0
2020-W18,Croatia,1835.0
2020-W19,Croatia,1380.0
2020-W20,Croatia,1024.0
2020-W21,Croatia,743.0
2020-W22,Croatia,270.0
2020-W23,Croatia,103.0
2020-W24,Croatia,49.0
2020-W25,Croatia,50.0
2020-W26,Croatia,250.0
2020-W27,Croatia,570.0
2020-W28,Croatia,730.0
2020-W29,Croatia,958.0
2020-W30,Croatia,975.0
2020-W31,Croatia,916.0
2020-W32,Croatia,831.0
2020-W33,Croatia,821.0
2020-W34,Croatia,928.0
2020-W35,Croatia,1350.0
2020-W36,Croatia,1900.0
2020-W37,Croatia,2178.0
2020-W38,Croatia,2051.0
2020-W39,Croatia,1943.0
2020-W40,Croatia,2021.0
2020-W41,Croatia,2516.0
2020-W42,Croatia,3291.0
2020-W43,Croatia,4700.0
2020-W44,Croatia,6851.0
2020-W45,Croatia,8851.0
2020-W46,Croatia,11092.0
2020-W47,Croatia,13469.0
2020-W48,Croatia,15194.0
2020-W49,Croatia,17202.0
2020-W50,Croatia,19204.0
2020-W51,Croatia,20371.0
2020-W52,Croatia,19460.0
2020-W53,Croatia,17874.0
2021-W01,Croatia,15857.0
2021-W02,Croatia,13478.0
2021-W03,Croatia,11080.0
2021-W04,Croatia,9493.0
2021-W05,Croatia,8452.0
2021-W06,Croatia,7208.0
2021-W07,Croatia,5960.0
2021-W08,Croatia,5461.0
2021-W09,Croatia,5308.0
2021-W10,Croatia,5679.0
2021-W11,Croatia,6346.0
2021-W12,Croatia,7627.0
2021-W13,Croatia,9707.0
2020-W11,Cyprus,0.0
2020-W12,Cyprus,0.0
2020-W13,Cyprus,164.0
2020-W14,Cyprus,345.0
2020-W15,Cyprus,332.0
2020-W16,Cyprus,267.0
2020-W17,Cyprus,229.0
2020-W18,Cyprus,178.0
2020-W19,Cyprus,146.0
2020-W20,Cyprus,84.0
2020-W21,Cyprus,58.0
2020-W22,Cyprus,50.0
2020-W23,Cyprus,44.0
2020-W24,Cyprus,29.0
2020-W25,Cyprus,19.0
2020-W26,Cyprus,4.0
2020-W27,Cyprus,7.0
2020-W28,Cyprus,1.0
2020-W29,Cyprus,0.0
2020-W30,Cyprus,0.0
2020-W31,Cyprus,24.0
2020-W32,Cyprus,31.0
2020-W33,Cyprus,24.0
2020-W34,Cyprus,16.0
2020-W35,Cyprus,39.0
2020-W36,Cyprus,41.0
2020-W37,Cyprus,26.0
2020-W38,Cyprus,44.0
2020-W39,Cyprus,85.0
2020-W40,Cyprus,90.0
2020-W41,Cyprus,49.0
2020-W42,Cyprus,83.0
2020-W43,Cyprus,182.0
2020-W44,Cyprus,248.0
2020-W45,Cyprus,420.0
2020-W46,Cyprus,498.0
2020-W47,Cyprus,584.0
2020-W48,Cyprus,768.0
2020-W49,Cyprus,857.0
2020-W50,Cyprus,806.0
2020-W51,Cyprus,840.0
2020-W52,Cyprus,996.0
2020-W53,Cyprus,1156.0
2021-W01,Cyprus,1357.0
2021-W02,Cyprus,1403.0
2021-W03,Cyprus,1295.0
2021-W04,Cyprus,1057.0
2021-W05,Cyprus,822.0
2021-W06,Cyprus,643.0
2021-W07,Cyprus,568.0
2021-W08,Cyprus,563.0
2021-W09,Cyprus,711.0
2021-W10,Cyprus,1250.0
2021-W11,Cyprus,1476.0
2021-W12,Cyprus,1431.0
2021-W13,Cyprus,1330.0
2020-W09,Czechia,0.0
2020-W10,Czechia,0.0
2020-W11,Czechia,19.0
2020-W12,Czechia,415.0
2020-W13,Czechia,1421.0
2020-W14,Czechia,2422.0
2020-W15,Czechia,2858.0
2020-W16,Czechia,2549.0
2020-W17,Czechia,2342.0
2020-W18,Czechia,1882.0
2020-W19,Czechia,1384.0
2020-W20,Czechia,938.0
2020-W21,Czechia,711.0
2020-W22,Czechia,555.0
2020-W23,Czechia,453.0
2020-W24,Czechia,458.0
2020-W25,Czechia,558.0
2020-W26,Czechia,487.0
2020-W27,Czechia,501.0
2020-W28,Czechia,502.0
2020-W29,Czechia,520.0
2020-W30,Czechia,609.0
2020-W31,Czechia,795.0
2020-W32,Czechia,760.0
2020-W33,Czechia,747.0
2020-W34,Czechia,811.0
2020-W35,Czechia,1004.0
2020-W36,Czechia,1345.0
2020-W37,Czechia,1939.0
2020-W38,Czechia,3165.0
2020-W39,Czechia,5171.0
2020-W40,Czechia,7791.0
2020-W41,Czechia,13384.0
2020-W42,Czechia,22120.0
2020-W43,Czechia,34964.0
2020-W44,Czechia,48888.0
2020-W45,Czechia,55217.0
2020-W46,Czechia,49269.0
2020-W47,Czechia,41973.0
2020-W48,Czechia,35533.0
2020-W49,Czechia,31211.0
2020-W50,Czechia,31079.0
2020-W51,Czechia,32787.0
2020-W52,Czechia,33119.0
2020-W53,Czechia,41779.0
2021-W01,Czechia,50345.0
2021-W02,Czechia,49261.0
2021-W03,Czechia,44416.0
2021-W04,Czechia,41588.0
2021-W05,Czechia,41186.0
2021-W06,Czechia,41636.0
2021-W07,Czechia,44695.0
2021-W08,Czechia,50861.0
2021-W09,Czechia,58421.0
2021-W10,Czechia,62156.0
2021-W11,Czechia,62232.0
2021-W12,Czechia,57255.0
2021-W13,Czechia,49368.0
2020-W20,Denmark,557.0
2020-W21,Denmark,886.0
2020-W22,Denmark,749.0
2020-W23,Denmark,640.0
2020-W24,Denmark,252.0
2020-W25,Denmark,280.0
2020-W26,Denmark,169.0
2020-W27,Denmark,135.0
2020-W28,Denmark,126.0
2020-W29,Denmark,126.0
2020-W30,Denmark,127.0
2020-W31,Denmark,137.0
2020-W32,Denmark,161.0
2020-W33,Denmark,112.0
2020-W34,Denmark,133.0
2020-W35,Denmark,142.0
2020-W36,Denmark,136.0
2020-W37,Denmark,256.0
2020-W38,Denmark,404.0
2020-W39,Denmark,620.0
2020-W40,Denmark,744.0
2020-W41,Denmark,786.0
2020-W42,Denmark,757.0
2020-W43,Denmark,875.0
2020-W44,Denmark,1004.0
2020-W45,Denmark,1275.0
2020-W46,Denmark,1600.0
2020-W47,Denmark,1764.0
2020-W48,Denmark,1770.0
2020-W49,Denmark,1920.0
2020-W50,Denmark,2495.0
2020-W51,Denmark,3712.0
2020-W52,Denmark,5199.0
2020-W53,Denmark,6343.0
2021-W01,Denmark,6225.0
2021-W02,Denmark,5905.0
2021-W03,Denmark,5298.0
2021-W04,Denmark,4352.0
2021-W05,Denmark,3139.0
2021-W06,Denmark,2452.0
2021-W07,Denmark,1922.0
2021-W08,Denmark,1653.0
2021-W09,Denmark,1567.0
2021-W10,Denmark,1562.0
2021-W11,Denmark,1363.0
2021-W12,Denmark,1435.0
2021-W13,Denmark,1508.0
2020-W07,Estonia,1.0
2020-W09,Estonia,5.0
2020-W10,Estonia,7.0
2020-W11,Estonia,15.0
2020-W12,Estonia,127.0
2020-W13,Estonia,394.0
2020-W14,Estonia,774.0
2020-W15,Estonia,984.0
2020-W16,Estonia,913.0
2020-W17,Estonia,733.0
2020-W18,Estonia,534.0
2020-W19,Estonia,377.0
2020-W20,Estonia,293.0
2020-W21,Estonia,272.0
2020-W22,Estonia,214.0
2020-W23,Estonia,124.0
2020-W24,Estonia,106.0
2020-W25,Estonia,64.0
2020-W26,Estonia,30.0
2020-W27,Estonia,15.0
2020-W28,Estonia,22.0
2020-W29,Estonia,28.0
2020-W30,Estonia,23.0
2020-W31,Estonia,28.0
2020-W32,Estonia,59.0
2020-W33,Estonia,55.0
2020-W34,Estonia,66.0
2020-W35,Estonia,70.0
2020-W36,Estonia,57.0
2020-W37,Estonia,80.0
2020-W38,Estonia,143.0
2020-W39,Estonia,215.0
2020-W40,Estonia,264.0
2020-W41,Estonia,253.0
2020-W42,Estonia,241.0
2020-W43,Estonia,208.0
2020-W44,Estonia,276.0
2020-W45,Estonia,388.0
2020-W46,Estonia,573.0
2020-W47,Estonia,956.0
2020-W48,Estonia,1363.0
2020-W49,Estonia,1659.0
2020-W50,Estonia,1946.0
2020-W51,Estonia,2409.0
2020-W52,Estonia,2863.0
2020-W53,Estonia,2911.0
2021-W01,Estonia,2858.0
2021-W02,Estonia,2879.0
2021-W03,Estonia,2956.0
2021-W04,Estonia,3000.0
2021-W05,Estonia,3221.0
2021-W06,Estonia,3334.0
2021-W07,Estonia,3524.0
2021-W08,Estonia,3560.0
2021-W09,Estonia,4143.0
2021-W10,Estonia,4724.0
2021-W11,Estonia,4874.0
2021-W12,Estonia,4930.0
2021-W13,Estonia,4927.0
2020-W12,Finland,0.0
2020-W13,Finland,532.0
2020-W14,Finland,1175.0
2020-W15,Finland,1648.0
2020-W16,Finland,1502.0
2020-W17,Finland,1394.0
2020-W18,Finland,1334.0
2020-W19,Finland,1246.0
2020-W20,Finland,969.0
2020-W21,Finland,780.0
2020-W22,Finland,582.0
2020-W23,Finland,361.0
2020-W24,Finland,194.0
2020-W25,Finland,70.0
2020-W26,Finland,67.0
2020-W27,Finland,67.0
2020-W28,Finland,44.0
2020-W29,Finland,21.0
2020-W30,Finland,20.0
2020-W31,Finland,17.0
2020-W32,Finland,24.0
2020-W33,Finland,18.0
2020-W34,Finland,24.0
2020-W35,Finland,28.0
2020-W36,Finland,33.0
2020-W37,Finland,30.0
2020-W38,Finland,40.0
2020-W39,Finland,62.0
2020-W40,Finland,62.0
2020-W41,Finland,96.0
2020-W42,Finland,150.0
2020-W43,Finland,197.0
2020-W44,Finland,197.0
2020-W45,Finland,203.0
2020-W46,Finland,232.0
2020-W47,Finland,274.0
2020-W48,Finland,406.0
2020-W49,Finland,481.0
2020-W50,Finland,1180.0
2020-W51,Finland,1355.0
2020-W52,Finland,812.0
2020-W53,Finland,868.0
2021-W01,Finland,760.0
2021-W02,Finland,774.0
2021-W03,Finland,719.0
2021-W04,Finland,684.0
2021-W05,Finland,657.0
2021-W06,Finland,593.0
2021-W07,Finland,661.0
2021-W08,Finland,953.0
2021-W09,Finland,1228.0
2021-W10,Finland,1279.0
2021-W11,Finland,1381.0
2021-W12,Finland,1503.0
2021-W13,Finland,1176.0
2020-W05,France,6.0
2020-W06,France,57.0
2020-W07,France,48.0
2020-W08,France,17.0
2020-W09,France,232.0
2020-W11,France,400.0
2020-W12,France,27704.0
2020-W13,France,97379.0
2020-W14,France,178344.0
2020-W15,France,214197.0
2020-W16,France,218940.0
2020-W17,France,203973.0
2020-W18,France,185788.0
2020-W19,France,164930.0
2020-W20,France,143634.0
2020-W21,France,124352.0
2020-W22,France,106976.0
2020-W23,France,92232.0
2020-W24,France,80015.0
2020-W25,France,70994.0
2020-W26,France,63727.0
2020-W27,France,57200.0
2020-W28,France,50750.0
2020-W29,France,47318.0
2020-W30,France,42178.0
2020-W31,France,37489.0
2020-W32,France,35347.0
2020-W33,France,34074.0
2020-W34,France,33260.0
2020-W35,France,31840.0
2020-W36,France,32406.0
2020-W37,France,35433.0
2020-W38,France,39413.0
2020-W39,France,41798.0
2020-W40,France,46529.0
2020-W41,France,53820.0
2020-W42,France,67673.0
2020-W43,France,98322.0
2020-W44,France,147234.0
2020-W45,France,195844.0
2020-W46,France,225341.0
2020-W47,France,226492.0
2020-W48,France,206312.0
2020-W49,France,188086.0
2020-W50,France,178038.0
2020-W51,France,175812.0
2020-W52,France,173015.0
2020-W53,France,171856.0
2021-W01,France,172172.0
2021-W02,France,174462.0
2021-W03,France,180558.0
2021-W04,France,190237.0
2021-W05,France,194173.0
2021-W06,France,189030.0
2021-W07,France,180558.0
2021-W08,France,177821.0
2021-W09,France,174903.0
2021-W10,France,174632.0
2021-W11,France,178466.0
2021-W12,France,189369.0
2021-W13,France,200847.0
2020-W16,Hungary,3189.0
2020-W17,Hungary,6031.0
2020-W18,Hungary,6884.0
2020-W19,Hungary,6517.0
2020-W20,Hungary,4620.0
2020-W21,Hungary,3004.0
2020-W22,Hungary,2487.0
2020-W23,Hungary,2834.0
2020-W24,Hungary,2263.0
2020-W25,Hungary,1502.0
2020-W26,Hungary,1257.0
2020-W27,Hungary,1099.0
2020-W28,Hungary,939.0
2020-W29,Hungary,740.0
2020-W30,Hungary,520.0
2020-W31,Hungary,516.0
2020-W32,Hungary,509.0
2020-W33,Hungary,442.0
2020-W34,Hungary,413.0
2020-W35,Hungary,507.0
2020-W36,Hungary,797.0
2020-W37,Hungary,1621.0
2020-W38,Hungary,2409.0
2020-W39,Hungary,3890.0
2020-W40,Hungary,5107.0
2020-W41,Hungary,6155.0
2020-W42,Hungary,11077.0
2020-W43,Hungary,14914.0
2020-W44,Hungary,23862.0
2020-W45,Hungary,36142.0
2020-W46,Hungary,45724.0
2020-W47,Hungary,51892.0
2020-W48,Hungary,53031.0
2020-W49,Hungary,54259.0
2020-W50,Hungary,55085.0
2020-W51,Hungary,52325.0
2020-W52,Hungary,45411.0
2020-W53,Hungary,41366.0
2021-W01,Hungary,37863.0
2021-W02,Hungary,32982.0
2021-W03,Hungary,28763.0
2021-W04,Hungary,25900.0
2021-W05,Hungary,25573.0
2021-W06,Hungary,26409.0
2021-W07,Hungary,28301.0
2021-W08,Hungary,34051.0
2021-W09,Hungary,46226.0
2021-W10,Hungary,59250.0
