year_week,country,WeekValue
2020-W14,Austria,1168.0
2020-W15,Austria,1775.0
2020-W16,Austria,1591.0
2020-W17,Austria,1184.0
2020-W18,Austria,887.0
2020-W19,Austria,636.0
2020-W20,Austria,381.0
2020-W21,Austria,241.0
2020-W22,Austria,200.0
2020-W23,Austria,152.0
2020-W24,Austria,98.0
2020-W25,Austria,69.0
2020-W26,Austria,72.0
2020-W27,Austria,55.0
2020-W28,Austria,72.0
2020-W29,Austria,74.0
2020-W30,Austria,115.0
2020-W31,Austria,124.0
2020-W32,Austria,165.0
2020-W33,Austria,155.0
2020-W34,Austria,150.0
2020-W35,Austria,180.0
2020-W36,Austria,204.0
2020-W37,Austria,259.0
2020-W38,Austria,419.0
2020-W39,Austria,539.0
2020-W40,Austria,666.0
2020-W41,Austria,707.0
2020-W42,Austria,822.0
2020-W43,Austria,1105.0
2020-W44,Austria,1682.0
2020-W45,Austria,2814.0
2020-W46,Austria,3797.0
2020-W47,Austria,4702.0
2020-W48,Austria,4885.0
2020-W49,Austria,4654.0
2020-W50,Austria,4160.0
2020-W51,Austria,3704.0
2020-W52,Austria,3136.0
2020-W53,Austria,2756.0
2021-W01,Austria,2585.0
2021-W02,Austria,2479.0
2021-W03,Austria,2306.0
2021-W04,Austria,2131.0
2021-W05,Austria,2080.0
2021-W06,Austria,1875.0
2021-W07,Austria,1824.0
2021-W08,Austria,1831.0
2021-W09,Austria,2170.0
2021-W10,Austria,2382.0
2021-W11,Austria,2761.0
2021-W12,Austria,3276.0
2021-W13,Austria,3772.0
2020-W11,Belgium,54.0
2020-W12,Belgium,1314.0
2020-W13,Belgium,4759.0
2020-W14,Belgium,8231.0
2020-W15,Belgium,8827.0
2020-W16,Belgium,8033.0
2020-W17,Belgium,6800.0
2020-W18,Belgium,5220.0
2020-W19,Belgium,3732.0
2020-W20,Belgium,2730.0
2020-W21,Belgium,1969.0
2020-W22,Belgium,1373.0
2020-W23,Belgium,968.0
2020-W24,Belgium,660.0
2020-W25,Belgium,407.0
2020-W26,Belgium,267.0
2020-W27,Belgium,240.0
2020-W28,Belgium,214.0
2020-W29,Belgium,194.0
2020-W30,Belgium,282.0
2020-W31,Belgium,352.0
2020-W32,Belgium,448.0
2020-W33,Belgium,548.0
2020-W34,Belgium,601.0
2020-W35,Belgium,557.0
2020-W36,Belgium,418.0
2020-W37,Belgium,442.0
2020-W38,Belgium,515.0
2020-W39,Belgium,745.0
2020-W40,Belgium,1137.0
2020-W41,Belgium,1485.0
2020-W42,Belgium,2343.0
2020-W43,Belgium,4114.0
2020-W44,Belgium,7264.0
2020-W45,Belgium,9888.0
2020-W46,Belgium,10182.0
2020-W47,Belgium,9024.0
2020-W48,Belgium,7225.0
2020-W49,Belgium,5655.0
2020-W50,Belgium,4611.0
2020-W51,Belgium,3973.0
2020-W52,Belgium,3603.0
2020-W53,Belgium,3436.0
2021-W01,Belgium,2806.0
2021-W02,Belgium,2504.0
2021-W03,Belgium,2392.0
2021-W04,Belgium,2228.0
2021-W05,Belgium,2148.0
2021-W06,Belgium,2107.0
2021-W07,Belgium,2217.0
2021-W08,Belgium,2629.0
2021-W09,Belgium,2973.0
2021-W10,Belgium,3203.0
2021-W11,Belgium,3778.0
2021-W12,Belgium,4558.0
2021-W13,Belgium,5477.0
2020-W15,Bulgaria,215.0
2020-W16,Bulgaria,257.0
2020-W17,Bulgaria,266.0
2020-W18,Bulgaria,285.0
2020-W19,Bulgaria,302.0
2020-W20,Bulgaria,350.0
2020-W21,Bulgaria,223.0
2020-W22,Bulgaria,138.0
2020-W23,Bulgaria,85.0
2020-W24,Bulgaria,103.0
2020-W25,Bulgaria,97.0
2020-W26,Bulgaria,107.0
2020-W27,Bulgaria,209.0
2020-W28,Bulgaria,211.0
2020-W29,Bulgaria,212.0
2020-W30,Bulgaria,211.0
2020-W31,Bulgaria,269.0
2020-W32,Bulgaria,331.0
2020-W33,Bulgaria,411.0
2020-W34,Bulgaria,443.0
2020-W35,Bulgaria,448.0
2020-W36,Bulgaria,427.0
2020-W37,Bulgaria,388.0
2020-W38,Bulgaria,299.0
2020-W39,Bulgaria,230.0
2020-W40,Bulgaria,322.0
2020-W41,Bulgaria,398.0
2020-W42,Bulgaria,487.0
2020-W43,Bulgaria,739.0
2020-W44,Bulgaria,1100.0
2020-W45,Bulgaria,1576.0
2020-W46,Bulgaria,1965.0
2020-W47,Bulgaria,2332.0
2020-W48,Bulgaria,2906.0
2020-W49,Bulgaria,3446.0
2020-W50,Bulgaria,3822.0
2020-W51,Bulgaria,3967.0
2020-W52,Bulgaria,3674.0
2020-W53,Bulgaria,3352.0
2021-W01,Bulgaria,2773.0
2021-W02,Bulgaria,2496.0
2021-W03,Bulgaria,2177.0
2021-W04,Bulgaria,1889.0
2021-W05,Bulgaria,1926.0
2021-W06,Bulgaria,1990.0
2021-W07,Bulgaria,2102.0
2021-W08,Bulgaria,2501.0
2021-W09,Bulgaria,2985.0
2021-W10,Bulgaria,3487.0
2021-W11,Bulgaria,4381.0
2021-W12,Bulgaria,5142.0
2021-W13,Bulgaria,5303.0
2020-W11,Cyprus,0.0
2020-W12,Cyprus,0.0
2020-W13,Cyprus,43.0
2020-W14,Cyprus,75.0
2020-W15,Cyprus,87.0
2020-W16,Cyprus,87.0
2020-W17,Cyprus,73.0
2020-W18,Cyprus,43.0
2020-W19,Cyprus,35.0
2020-W20,Cyprus,23.0
2020-W21,Cyprus,26.0
2020-W22,Cyprus,21.0
2020-W23,Cyprus,19.0
2020-W24,Cyprus,14.0
2020-W25,Cyprus,7.0
2020-W26,Cyprus,0.0
2020-W27,Cyprus,0.0
2020-W28,Cyprus,0.0
2020-W29,Cyprus,0.0
2020-W30,Cyprus,0.0
2020-W31,Cyprus,0.0
2020-W32,Cyprus,0.0
2020-W33,Cyprus,0.0
2020-W34,Cyprus,6.0
2020-W35,Cyprus,7.0
2020-W36,Cyprus,11.0
2020-W37,Cyprus,7.0
2020-W38,Cyprus,7.0
2020-W39,Cyprus,0.0
2020-W40,Cyprus,7.0
2020-W41,Cyprus,15.0
2020-W42,Cyprus,14.0
2020-W43,Cyprus,14.0
2020-W44,Cyprus,27.0
2020-W45,Cyprus,40.0
2020-W46,Cyprus,52.0
2020-W47,Cyprus,66.0
2020-W48,Cyprus,102.0
2020-W49,Cyprus,93.0
2020-W50,Cyprus,89.0
2020-W51,Cyprus,93.0
2020-W52,Cyprus,131.0
2020-W53,Cyprus,190.0
2021-W01,Cyprus,229.0
2021-W02,Cyprus,258.0
2021-W03,Cyprus,255.0
2021-W04,Cyprus,244.0
2021-W05,Cyprus,177.0
2021-W06,Cyprus,157.0
2021-W07,Cyprus,115.0
2021-W08,Cyprus,102.0
2021-W09,Cyprus,94.0
2021-W10,Cyprus,140.0
2021-W11,Cyprus,161.0
2021-W12,Cyprus,200.0
2021-W13,Cyprus,185.0
2020-W09,Czechia,0.0
2020-W10,Czechia,0.0
2020-W11,Czechia,0.0
2020-W12,Czechia,64.0
2020-W13,Czechia,276.0
2020-W14,Czechia,539.0
2020-W15,Czechia,651.0
2020-W16,Czechia,568.0
2020-W17,Czechia,524.0
2020-W18,Czechia,407.0
2020-W19,Czechia,305.0
2020-W20,Czechia,255.0
2020-W21,Czechia,190.0
2020-W22,Czechia,103.0
2020-W23,Czechia,70.0
2020-W24,Czechia,74.0
2020-W25,Czechia,60.0
2020-W26,Czechia,78.0
2020-W27,Czechia,80.0
2020-W28,Czechia,90.0
2020-W29,Czechia,132.0
2020-W30,Czechia,126.0
2020-W31,Czechia,128.0
2020-W32,Czechia,107.0
2020-W33,Czechia,165.0
2020-W34,Czechia,173.0
2020-W35,Czechia,237.0
2020-W36,Czechia,320.0
2020-W37,Czechia,444.0
2020-W38,Czechia,615.0
2020-W39,Czechia,1059.0
2020-W40,Czechia,1596.0
2020-W41,Czechia,2664.0
2020-W42,Czechia,3707.0
2020-W43,Czechia,4973.0
2020-W44,Czechia,7169.0
2020-W45,Czechia,8077.0
2020-W46,Czechia,7385.0
2020-W47,Czechia,6083.0
2020-W48,Czechia,5094.0
2020-W49,Czechia,4111.0
2020-W50,Czechia,3933.0
2020-W51,Czechia,4202.0
2020-W52,Czechia,4656.0
2020-W53,Czechia,6100.0
2021-W01,Czechia,7592.0
2021-W02,Czechia,8000.0
2021-W03,Czechia,7599.0
2021-W04,Czechia,6992.0
2021-W05,Czechia,7248.0
2021-W06,Czechia,7727.0
2021-W07,Czechia,8907.0
2021-W08,Czechia,10528.0
2021-W09,Czechia,12263.0
2021-W10,Czechia,13783.0
2021-W11,Czechia,14123.0
2021-W12,Czechia,13112.0
2021-W13,Czechia,10890.0
2020-W20,Denmark,122.0
2020-W21,Denmark,162.0
2020-W22,Denmark,143.0
2020-W23,Denmark,110.0
2020-W24,Denmark,91.0
2020-W25,Denmark,47.0
2020-W26,Denmark,43.0
2020-W27,Denmark,38.0
2020-W28,Denmark,37.0
2020-W29,Denmark,33.0
2020-W30,Denmark,23.0
2020-W31,Denmark,19.0
2020-W32,Denmark,15.0
2020-W33,Denmark,7.0
2020-W34,Denmark,8.0
2020-W35,Denmark,21.0
2020-W36,Denmark,25.0
2020-W37,Denmark,31.0
2020-W38,Denmark,28.0
2020-W39,Denmark,105.0
2020-W40,Denmark,110.0
2020-W41,Denmark,121.0
2020-W42,Denmark,121.0
2020-W43,Denmark,119.0
2020-W44,Denmark,126.0
2020-W45,Denmark,175.0
2020-W46,Denmark,276.0
2020-W47,Denmark,287.0
2020-W48,Denmark,296.0
2020-W49,Denmark,277.0
2020-W50,Denmark,324.0
2020-W51,Denmark,525.0
2020-W52,Denmark,654.0
2020-W53,Denmark,910.0
2021-W01,Denmark,960.0
2021-W02,Denmark,935.0
2021-W03,Denmark,911.0
2021-W04,Denmark,769.0
2021-W05,Denmark,599.0
2021-W06,Denmark,487.0
2021-W07,Denmark,400.0
2021-W08,Denmark,319.0
2021-W09,Denmark,248.0
2021-W10,Denmark,279.0
2021-W11,Denmark,280.0
2021-W12,Denmark,302.0
2021-W13,Denmark,283.0
2020-W09,Estonia,0.0
2020-W10,Estonia,0.0
2020-W11,Estonia,0.0
2020-W12,Estonia,12.0
2020-W13,Estonia,61.0
2020-W14,Estonia,111.0
2020-W15,Estonia,72.0
2020-W16,Estonia,77.0
2020-W17,Estonia,82.0
2020-W18,Estonia,73.0
2020-W19,Estonia,53.0
2020-W20,Estonia,42.0
2020-W21,Estonia,34.0
2020-W22,Estonia,14.0
2020-W23,Estonia,5.0
2020-W24,Estonia,2.0
2020-W25,Estonia,7.0
2020-W26,Estonia,8.0
2020-W27,Estonia,7.0
2020-W28,Estonia,11.0
2020-W29,Estonia,14.0
2020-W30,Estonia,11.0
2020-W31,Estonia,7.0
2020-W32,Estonia,11.0
2020-W33,Estonia,10.0
2020-W34,Estonia,3.0
2020-W35,Estonia,0.0
2020-W36,Estonia,0.0
2020-W37,Estonia,11.0
2020-W38,Estonia,25.0
2020-W39,Estonia,16.0
2020-W40,Estonia,18.0
2020-W41,Estonia,35.0
2020-W42,Estonia,23.0
2020-W43,Estonia,20.0
2020-W44,Estonia,28.0
2020-W45,Estonia,34.0
2020-W46,Estonia,65.0
2020-W47,Estonia,99.0
2020-W48,Estonia,134.0
2020-W49,Estonia,166.0
2020-W50,Estonia,180.0
2020-W51,Estonia,216.0
2020-W52,Estonia,257.0
2020-W53,Estonia,303.0
2021-W01,Estonia,314.0
2021-W02,Estonia,309.0
2021-W03,Estonia,316.0
2021-W04,Estonia,281.0
2021-W05,Estonia,228.0
2021-W06,Estonia,235.0
2021-W07,Estonia,257.0
2021-W08,Estonia,294.0
2021-W09,Estonia,372.0
2021-W10,Estonia,439.0
2021-W11,Estonia,481.0
2021-W12,Estonia,488.0
2021-W13,Estonia,509.0
2020-W12,Finland,0.0
2020-W13,Finland,150.0
2020-W14,Finland,453.0
2020-W15,Finland,566.0
2020-W16,Finland,511.0
2020-W17,Finland,436.0
2020-W18,Finland,361.0
2020-W19,Finland,320.0
2020-W20,Finland,237.0
2020-W21,Finland,162.0
2020-W22,Finland,82.0
2020-W23,Finland,53.0
2020-W24,Finland,24.0
2020-W25,Finland,7.0
2020-W26,Finland,5.0
2020-W27,Finland,0.0
2020-W28,Finland,3.0
2020-W29,Finland,2.0
2020-W30,Finland,2.0
2020-W31,Finland,0.0
2020-W32,Finland,1.0
2020-W33,Finland,2.0
2020-W34,Finland,0.0
2020-W35,Finland,3.0
2020-W36,Finland,4.0
2020-W37,Finland,3.0
2020-W38,Finland,9.0
2020-W39,Finland,8.0
2020-W40,Finland,12.0
2020-W41,Finland,18.0
2020-W42,Finland,24.0
2020-W43,Finland,25.0
2020-W44,Finland,30.0
2020-W45,Finland,41.0
2020-W46,Finland,42.0
2020-W47,Finland,35.0
2020-W48,Finland,55.0
2020-W49,Finland,60.0
2020-W50,Finland,136.0
2020-W51,Finland,154.0
2020-W52,Finland,87.0
2020-W53,Finland,116.0
2021-W01,Finland,117.0
2021-W02,Finland,147.0
2021-W03,Finland,128.0
2021-W04,Finland,104.0
2021-W05,Finland,100.0
2021-W06,Finland,81.0
2021-W07,Finland,129.0
2021-W08,Finland,173.0
2021-W09,Finland,192.0
2021-W10,Finland,208.0
2021-W11,Finland,260.0
2021-W12,Finland,299.0
2021-W13,Finland,206.0
2020-W05,France,1.0
2020-W06,France,6.0
2020-W07,France,3.0
2020-W09,France,20.0
2020-W10,France,122.0
2020-W11,France,686.0
2020-W12,France,6896.0
2020-W13,France,23455.0
2020-W14,France,42935.0
2020-W15,France,48249.0
2020-W16,France,43058.0
2020-W17,France,35036.0
2020-W18,France,28344.0
2020-W19,France,21332.0
2020-W20,France,16103.0
2020-W21,France,12184.0
