Country,Response_measure,date_start,date_end
Austria,AdaptationOfWorkplace,3/16/2020,4/13/2020
Austria,BanOnAllEvents,11/3/2020,NA
Austria,ClosDaycare,3/16/2020,5/4/2020
Austria,ClosDaycarePartial,11/17/2020,12/7/2020
Austria,ClosHigh,3/16/2020,9/30/2020
Austria,ClosHighPartial,11/3/2020,NA
Austria,ClosPrim,3/16/2020,5/18/2020
Austria,ClosPrim,12/26/2020,2/7/2021
Austria,ClosPrimPartial,11/17/2020,12/7/2020
Austria,ClosPubAny,3/16/2020,4/13/2020
Austria,ClosPubAny,5/2/2020,5/14/2020
Austria,ClosPubAny,11/16/2020,12/6/2020
Austria,ClosPubAny,12/28/2020,2/6/2021
Austria,ClosPubAnyPartial,4/14/2020,5/1/2020
Austria,ClosPubAnyPartial,5/15/2020,11/15/2020
Austria,ClosPubAnyPartial,12/7/2020,12/27/2020
Austria,ClosPubAnyPartial,2/7/2021,NA
Austria,ClosSec,3/16/2020,5/3/2020
Austria,ClosSec,11/3/2020,2/7/2021
Austria,ClosSecPartial,5/4/2020,6/3/2020
Austria,ClosSecPartial,2/8/2021,NA
Austria,EntertainmentVenues,3/16/2020,4/30/2020
Austria,EntertainmentVenues,11/3/2020,2/7/2021
Austria,EntertainmentVenuesPartial,2/8/2021,NA
Austria,GymsSportsCentres,11/3/2020,NA
Austria,HotelsOtherAccommodation,3/31/2020,5/29/2020
Austria,HotelsOtherAccommodation,11/3/2020,NA
Austria,IndoorOver100,3/10/2020,7/1/2020
Austria,IndoorOver1000,7/2/2020,7/31/2020
Austria,IndoorOver1000,9/21/2020,11/2/2020
Austria,MasksMandatoryAllSpaces,9/14/2020,NA
Austria,MasksMandatoryClosedSpaces,4/6/2020,6/14/2020
Austria,MasksMandatoryClosedSpacesPartial,6/15/2020,9/13/2020
Austria,MasksVoluntaryClosedSpacesPartial,3/31/2020,4/5/2020
Austria,MassGather50,4/30/2020,5/29/2020
Austria,MassGather50,11/3/2020,NA
Austria,MassGatherAll,3/10/2020,7/31/2020
Austria,MassGatherAll,9/21/2020,NA
Austria,NonEssentialShops,3/16/2020,4/13/2020
Austria,NonEssentialShops,11/17/2020,12/6/2020
Austria,NonEssentialShops,12/26/2020,2/7/2021
Austria,NonEssentialShopsPartial,4/14/2020,5/1/2020
Austria,NonEssentialShopsPartial,2/8/2021,NA
Austria,OutdoorOver1000,7/2/2020,7/31/2020
Austria,OutdoorOver1000,9/21/2020,11/2/2020
Austria,OutdoorOver50,4/30/2020,5/29/2020
Austria,OutdoorOver500,3/10/2020,4/29/2020
Austria,OutdoorOver500,5/30/2020,7/1/2020
Austria,PlaceOfWorship,3/16/2020,5/14/2020
Austria,PlaceOfWorship,11/16/2020,12/6/2020
Austria,PlaceOfWorship,12/28/2020,2/6/2021
Austria,PlaceOfWorshipPartial,5/15/2020,11/15/2020
Austria,PlaceOfWorshipPartial,12/7/2020,12/27/2020
Austria,PlaceOfWorshipPartial,2/7/2021,NA
Austria,PrivateGatheringRestrictions,3/16/2020,4/30/2020
Austria,PrivateGatheringRestrictions,10/23/2020,11/16/2020
Austria,RestaurantsCafes,3/16/2020,5/15/2020
