YearWeekISO,Region,ReportingCountry,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,TotalDoses,Population,Denominator
2020-W52,BG,BG,0,0.0,0,0,0,6951482,5761802.0
2020-W52,CY,CY,0,0.0,0,0,0,888005,717452.0
2020-W52,CZ,CZ,1250,0.0,0,0,1250,10693939,8694474.0
2020-W52,DE,DE,23861,0.0,137,0,23998,83166711,69488809.0
2020-W52,EE,EE,3,0.0,0,0,3,1328976,1071932.0
2020-W52,EL,EL,240,0.0,0,0,240,10718565,8864187.0
2020-W52,FI,FI,24,0.0,0,0,24,5525292,4476235.0
2020-W52,FR,FR,0,0.0,0,0,0,67320216,52780048.0
2020-W52,HR,HR,0,0.0,0,0,0,4058165,3360840.0
2020-W52,HU,HU,1097,0.0,0,0,1097,9769526,8060478.0
2020-W52,IE,IE,0,0.0,0,0,0,4964440,3762805.0
2020-W52,IT,IT,7148,0.0,0,0,7148,59641488,50208329.0
2020-W52,LT,LT,2418,0.0,0,0,2418,2794090,2295269.0
2020-W52,LU,LU,0,0.0,0,0,0,626108,506569.0
2020-W52,LV,LV,0,0.0,0,0,0,1907675,1548218.0
2020-W52,MT,MT,57,0.0,0,0,57,514564,432616.0
2020-W52,NL,NL,0,0.0,0,0,0,17407585,14070340.0
2020-W52,NO,NO,5,0.0,0,0,5,5367580,4248972.0
2020-W52,PL,PL,2214,0.0,0,0,2214,37958138,31044901.0
2020-W52,PT,PT,4974,0.0,0,0,4974,10295909,8578859.0
2020-W52,SE,SE,1964,0.0,0,0,1964,10327589,8147081.0
2020-W52,SI,SI,6032,0.0,0,0,6032,2095861,1724466.0
2020-W53,AT,AT,5009,0.0,0,0,5009,8901064,7358443.0
2020-W53,BE,BE,794,0.0,0,0,794,11522440,9202196.0
2020-W53,BG,BG,4739,0.0,0,0,4739,6951482,5761802.0
2020-W53,CY,CY,2976,0.0,0,0,2976,888005,717452.0
2020-W53,CZ,CZ,12931,0.0,0,0,12931,10693939,8694474.0
2020-W53,DE,DE,272025,0.0,926,0,272951,83166711,69488809.0
2020-W53,DK,DK,46761,0.0,0,0,46761,5822763,4666625.0
2020-W53,EE,EE,16,0.0,0,0,16,1328976,1071932.0
2020-W53,EL,EL,3627,0.0,0,0,3627,10718565,8864187.0
2020-W53,ES,ES,96419,607.0,0,0,96419,47332614,39006858.0
2020-W53,FI,FI,5514,0.0,0,0,5514,5525292,4476235.0
2020-W53,FR,FR,585,0.0,0,0,585,67320216,52780048.0
2020-W53,HR,HR,12195,0.0,5,79,12279,4058165,3360840.0
2020-W53,HU,HU,10759,0.0,0,0,10759,9769526,8060478.0
2020-W53,IE,IE,2043,0.0,0,0,2043,4964440,3762805.0
2020-W53,IS,IS,4953,0.0,0,0,4953,364134,282770.0
2020-W53,IT,IT,116965,0.0,0,17,116982,59641488,50208329.0
2020-W53,LT,LT,7328,0.0,0,0,7328,2794090,2295269.0
2020-W53,LU,LU,1251,0.0,0,0,1251,626108,506569.0
2020-W53,LV,LV,2257,0.0,0,0,2257,1907675,1548218.0
2020-W53,MT,MT,1602,0.0,3,0,1605,514564,432616.0
2020-W53,NL,NL,0,0.0,0,0,0,17407585,14070340.0
2020-W53,NO,NO,2168,0.0,0,0,2168,5367580,4248972.0
2020-W53,PL,PL,50009,0.0,5,0,50014,37958138,31044901.0
2020-W53,PT,PT,28541,0.0,1,0,28542,10295909,8578859.0
2020-W53,SE,SE,12539,0.0,0,0,12539,10327589,8147081.0
2020-W53,SI,SI,6125,0.0,0,0,6125,2095861,1724466.0
2021-W01,AT,AT,25456,0.0,0,0,25456,8901064,7358443.0
2021-W01,BE,BE,26556,0.0,0,0,26556,11522440,9202196.0
2021-W01,BG,BG,8734,0.0,0,0,8734,6951482,5761802.0
