YearWeekISO,ReportingCountry,TotalDoses,TargetGroup,TotalDosesSum
2020-W52,BG,0,ALL,0
2020-W52,CY,0,ALL,0
2020-W52,CZ,268,1_Age60+,268
2020-W52,CZ,980,1_Age<60,1248
2020-W52,CZ,1250,ALL,2498
2020-W52,CZ,48,Age18_24,2546
2020-W52,CZ,683,Age25_49,3229
2020-W52,CZ,249,Age50_59,3478
2020-W52,CZ,176,Age60_69,3654
2020-W52,CZ,67,Age70_79,3721
2020-W52,CZ,25,Age80+,3746
2020-W52,CZ,2,AgeUNK,3748
2020-W52,CZ,1088,HCW,4836
2020-W52,CZ,10,LTCF,4846
2020-W52,DE,23998,ALL,23998
2020-W52,EE,3,ALL,3
2020-W52,EE,0,Age18_24,3
2020-W52,EE,0,Age25_49,3
2020-W52,EE,2,Age50_59,5
2020-W52,EE,1,Age60_69,6
2020-W52,EE,0,Age70_79,6
2020-W52,EE,0,Age80+,6
2020-W52,EE,0,AgeUNK,6
2020-W52,EE,0,HCW,6
2020-W52,EE,0,LTCF,6
2020-W52,EL,93,1_Age60+,93
2020-W52,EL,147,1_Age<60,240
2020-W52,EL,240,ALL,480
2020-W52,EL,1,Age18_24,481
2020-W52,EL,70,Age25_49,551
2020-W52,EL,76,Age50_59,627
2020-W52,EL,90,Age60_69,717
2020-W52,EL,2,Age70_79,719
2020-W52,EL,1,Age80+,720
2020-W52,EL,0,AgeUNK,720
2020-W52,EL,232,HCW,952
2020-W52,FI,24,ALL,24
2020-W52,FI,0,Age18_24,24
2020-W52,FI,16,Age25_49,40
2020-W52,FI,8,Age50_59,48
2020-W52,FI,0,Age60_69,48
2020-W52,FI,0,Age70_79,48
2020-W52,FI,0,Age80+,48
2020-W52,FI,0,AgeUNK,48
2020-W52,FR,0,ALL,0
2020-W52,FR,0,Age18_24,0
2020-W52,FR,0,Age25_49,0
2020-W52,FR,0,Age50_59,0
2020-W52,FR,0,Age60_69,0
2020-W52,FR,0,Age70_79,0
2020-W52,FR,0,Age80+,0
2020-W52,FR,0,AgeUNK,0
2020-W52,FR,0,HCW,0
2020-W52,FR,0,LTCF,0
2020-W52,HR,0,ALL,0
2020-W52,HR,0,Age18_24,0
2020-W52,HR,0,Age25_49,0
2020-W52,HR,0,Age50_59,0
2020-W52,HR,0,Age60_69,0
2020-W52,HR,0,Age70_79,0
2020-W52,HR,0,Age80+,0
2020-W52,HR,0,HCW,0
2020-W52,HR,0,LTCF,0
2020-W52,HU,1097,ALL,1097
2020-W52,HU,18,Age18_24,1115
2020-W52,HU,649,Age25_49,1764
2020-W52,HU,276,Age50_59,2040
2020-W52,HU,117,Age60_69,2157
2020-W52,HU,31,Age70_79,2188
2020-W52,HU,2,Age80+,2190
2020-W52,HU,4,AgeUNK,2194
2020-W52,HU,1095,HCW,3289
2020-W52,HU,0,LTCF,3289
2020-W52,IE,0,ALL,0
2020-W52,IT,7148,ALL,7148
2020-W52,IT,83,Age18_24,7231
2020-W52,IT,3131,Age25_49,10362
2020-W52,IT,2155,Age50_59,12517
2020-W52,IT,1458,Age60_69,13975
2020-W52,IT,129,Age70_79,14104
2020-W52,IT,194,Age80+,14298
2020-W52,IT,0,HCW,14298
2020-W52,IT,0,LTCF,14298
2020-W52,LT,2418,ALL,2418
